Dealer_Name,Dealer_Type,Dealer_Address,City,State,Mobile,Email,Domain,Map_Location
"MG Brothers, NH44, Bangalore Hwy",SALES,"1-374, NH44, Bangalore Hwy, Kakkalapalli Vill,",Anantpur,Andhra Pradesh,8333099186,gmsalesatp@mgbrotherskia.in,https://mg-brothers-nh44-bangalore-hwy-kia.com,"https://www.google.com/maps/search/14.64879,77.58245,MG%20Brothers,%20NH44,%20Bangalore%20Hwy,%20Kakkalapalli%20Vill,"
"MG Brothers, NH44, Bangalore Hwy",SERVICE,"1-374, NH44, Bangalore Hwy,Kakkalapalli Vill,",Anantpur,Andhra Pradesh,9494436198,serviceatp@mgbrotherskia.in,https://mg-brothers-nh44-bangalore-hwy-kia.com,"https://www.google.com/maps/search/14.64879,77.58245,MG%20Brothers,%20NH44,%20Bangalore%20Hwy,Kakkalapalli%20Vill,"
"Simha Kia, Undi Highway",SALES,"SY No:140/2B, Pedamiram Undi Road, Near Agriculture Check post,",Bhimavaram,Andhra Pradesh,7331122044,salesmanager.bvrm@simha-kia.in,https://simha-kia-undi-highway.com,"https://www.google.com/maps/search/16.562355,81.496515,Simha%20Kia,%20Undi%20Highway,Near%20Agriculture%20Check%20post,"
"Simha Kia, Undi Highway",SERVICE,"SY No:140/2B, Pedamiram Undi Road, Near Agriculture Check post,",Bhimavaram,Andhra Pradesh,8688836598,Servicemanager.bvrm@simha-kia.in,https://simha-kia-undi-highway.com,"https://www.google.com/maps/search/16.562355,81.496515,Simha%20Kia,%20Undi%20Highway,Near%20Agriculture%20Check%20post,"
"Simha Kia, Indira Autonagar",SALES,"Plot No. 2Block No. 4, Phase IV, Autonagar",Guntur,Andhra Pradesh,7331122066,salesmanager.gnt@simha-kia.in,https://simha-kia-indira-autonagar.com,"https://www.google.com/maps/search/16.32077,80.4755,Simha%20Kia,%20Indira%20Autonagar,Block%20No.%204,%20Phase%20IV,%20Autonagar"
"Simha Kia, Indira Autonagar",SERVICE,"Plot No.5Block No. 38, Autonagar",Guntur,Andhra Pradesh,8688836555,Servicemanager.gnt@simha-kia.in,https://simha-kia-indira-autonagar.com,"https://www.google.com/maps/search/16.31865,80.48051,Simha%20Kia,%20Indira%20Autonagar,Block%20No.%2038,%20Autonagar"
"Hoshi Auto, Kadapa",SALES,"No.38/173-10-5-1,Chinna Chowk,Cuddapah, Ysr District",Kadappa,Andhra Pradesh,9100773485,mgrsaltpt@hoshikia.com,https://hoshi-auto-kadapa-kia.com,"https://www.google.com/maps/search/14.46656,78.86189,Hoshi%20Auto,%20Kadapa,Cuddapah,%20Ysr%20District"
"Hoshi Auto, Kadapa",SERVICE,"No.38/173-10-5-1,Chinna Chowk,Cuddapah, Ysr District",Kadappa,Andhra Pradesh,6301015262,i2skdp@hoshikia.com,https://hoshi-auto-kadapa-kia.com,"https://www.google.com/maps/search/14.46656,78.86189,Hoshi%20Auto,%20Kadapa,Cuddapah,%20Ysr%20District"
"Kantipudi Kia, Kakinada",SALES,"#10/07/36,Shed No G2A,Industrial Area,Ramanayyapeta, Near Post Office,",Kakinada,Andhra Pradesh,7799977468,info@kantipudikia.co.in,https://kantipudi-kia-kakinada.com,"https://www.google.com/maps/search/16.989065,82.247467,Kantipudi%20Kia,%20Kakinada,Ramanayyapeta,%20Near%20Post%20Office,"
"Kantipudi Kia, Kakinada",SERVICE,"#10/07/36,Shed No G2A,Industrial Area,Ramanayyapeta, Near Post Office,",Kakinada,Andhra Pradesh,7799977468,i2s.kkd@kantipudikia.co.in,https://kantipudi-kia-kakinada.com,"https://www.google.com/maps/search/16.989065,82.247467,Kantipudi%20Kia,%20Kakinada,Ramanayyapeta,%20Near%20Post%20Office,"
